Angular Momentum Spectrum, a: 1nm    v: 0.5c   b: 1.5nm    Lmax: 5 

         w(au)                   dLEdwx                 dLHdwx                 dLEdwz                dLHdwz                  dLEsdwx                dLHsdwx                dLEsdwz                dLHsdwz              dLEedwx                dLHedwx                dLEedwz                dLHedwz
0.018604465124198805 0 0 0 0 0 0 0 0 3.3777466554091219e-07 6.2050608408298294e-08 0 0 
0.020871493322656143 0 0 0 0 0 0 0 0 3.7896269220974698e-07 6.9609692212673529e-08 0 0 
0.02325866555547923 0 0 0 0 0 0 0 0 4.2234330095785955e-07 7.7568673751354623e-08 0 0 
0.025764035426540266 0 0 0 0 0 0 0 0 4.6788351566180444e-07 8.5920884069398e-08 0 0 
0.028384954922211783 0 0 0 0 0 0 0 0 5.1553786524807658e-07 9.4657293833094308e-08 0 0 
0.03111874318509282 0 0 0 0 0 0 0 0 5.6526053347716415e-07 1.0376874288190111e-07 0 0 
0.03396313314120275 0 0 0 0 0 0 0 0 6.1701348489847811e-07 1.1324742816042095e-07 0 0 
0.036915696827193673 0 0 0 0 0 0 0 0 6.7075601512845107e-07 1.2308498774896842e-07 0 0 
0.039973443719530891 0 0 0 0 0 0 0 0 7.2643742599553293e-07 1.3327116311378068e-07 0 0 
0.043133331363444494 0 0 0 0 0 0 0 0 7.8400630026985772e-07 1.4379550149955281e-07 0 0 
0.046392639076863182 0 0 0 0 0 0 0 0 8.4341730170146453e-07 1.5464860078762087e-07 0 0 
0.04974851682369448 0 0 0 0 0 0 0 0 9.0462294840501559e-07 1.6582060712688224e-07 0 0 
0.053197644277142853 0 0 0 0 0 0 0 0 9.6756736889250703e-07 1.7730008150095049e-07 0 0 
0.056736644309891504 0 0 0 0 0 0 0 0 1.0321938112807206e-06 1.8907537838451438e-07 0 0 
0.060362407086757761 0 0 0 0 0 0 0 0 1.0984505433869363e-06 2.0113572516179281e-07 0 0 
0.06407171754730441 0 0 0 0 0 0 0 0 1.1662840336737621e-06 2.1346998360645951e-07 0 0 
0.067860956253416371 0 0 0 0 0 0 0 0 1.2356334445741673e-06 2.2606565768647217e-07 0 0 
0.071726449595072114 0 0 0 0 0 0 0 0 1.3064369947314045e-06 2.3891006118926085e-07 0 0 
0.075664759711413662 0 0 0 0 0 0 0 0 1.3786372440279034e-06 2.5199128292071413e-07 0 0 
0.079672364357093836 0 0 0 0 0 0 0 0 1.4521752076134564e-06 2.6529712457742127e-07 0 0 
0.083745386635392521 0 0 0 0 0 0 0 0 1.5269853540110756e-06 2.7881420678639577e-07 0 0 
0.087879902516054403 0 0 0 0 0 0 0 0 1.6030011996867027e-06 2.9252899403901623e-07 0 0 
0.092072207353293106 0 0 0 0 0 0 0 0 1.6801601804257393e-06 3.0642868116444282e-07 0 0 
0.09631853149673858 0 0 0 0 0 0 0 0 1.7583983988093223e-06 3.2050025201960008e-07 0 0 
0.10061478961526461 0 0 0 0 0 0 0 0 1.8376459605762234e-06 3.347296527050025e-07 0 0 
0.1049568590497002 0 0 0 0 0 0 0 0 1.9178320532372004e-06 3.491027184319321e-07 0 0 
0.10934083090140731 0 0 0 0 0 0 0 0 1.9988895552548645e-06 3.6360600731739455e-07 0 0 
0.11376275003283018 0 0 0 0 0 0 0 0 2.0807502133648533e-06 3.7822594188716427e-07 0 0 
0.1182183768392184 0 0 0 0 0 0 0 0 2.1633401895342649e-06 3.9294802555532863e-07 0 0 
0.12270344595643837 0 0 0 0 0 0 0 0 2.2465848029091064e-06 4.0775770260788788e-07 0 0 
0.12721390824064918 0 0 0 0 0 0 0 0 2.3304129984909167e-06 4.2264115975534613e-07 0 0 
0.13174568684716667 0 0 0 0 0 0 0 0 2.4147528053364567e-06 4.3758452259035711e-07 0 0 
0.13629444554612472 0 0 0 0 0 0 0 0 2.4995269879742879e-06 4.5257309557578747e-07 0 0 
0.14085583497741319 0 0 0 0 0 0 0 0 2.584657588447697e-06 4.6759217850506519e-07 0 0 
0.14542573093919775 0 0 0 0 0 0 0 0 2.6700703596486335e-06 4.8262785316719728e-07 0 0 
0.14999999999999999 0 0 0 0 0 0 0 0 2.7556903862248832e-06 4.976662128415707e-07 0 0 
0.15457426906080224 0 0 0 0 0 0 0 0 2.8414377436563009e-06 5.1269260815206174e-07 0 0 
0.1591441650225868 0 0 0 0 0 0 0 0 2.927231952505419e-06 5.2769243891258825e-07 0 0 
0.16370555445387527 0 0 0 0 0 0 0 0 3.012996474966395e-06 5.4265194204856226e-07 0 0 
0.16825431315283332 0 0 0 0 0 0 0 0 3.0986543959786521e-06 5.5755743552881467e-07 0 0 
0.17278609175935081 0 0 0 0 0 0 0 0 3.1841239927164945e-06 5.7239455294111634e-07 0 0 
0.17729655404356162 0 0 0 0 0 0 0 0 3.269323200614841e-06 5.8714902743228562e-07 0 0 
0.18178162316078159 0 0 0 0 0 0 0 0 3.3541742740801772e-06 6.0180749744063563e-07 0 0 
0.18623724996716981 0 0 0 0 0 0 0 0 3.4385994301439031e-06 6.1635674792329296e-07 0 0 
0.19065916909859268 0 0 0 0 0 0 0 0 3.5225162212609332e-06 6.3078291545846741e-07 0 0 
0.19504314095029979 0 0 0 0 0 0 0 0 3.6058421098020775e-06 6.450722805230888e-07 0 0 
0.19938521038473539 0 0 0 0 0 0 0 0 3.688499406257834e-06 6.5921210970368137e-07 0 0 
0.20368146850326141 0 0 0 0 0 0 0 0 3.7704107734382463e-06 6.7318987696975477e-07 0 0 
0.20792779264670688 0 0 0 0 0 0 0 0 3.8514942745512063e-06 6.8699241823291063e-07 0 0 
0.21212009748394559 0 0 0 0 0 0 0 0 3.9316681593724101e-06 7.0060674933496991e-07 0 0 
0.21625461336460747 0 0 0 0 0 0 0 0 4.0108562188970403e-06 7.1402096767687853e-07 0 0 
0.22032763564290614 0 0 0 0 0 0 0 0 4.0889830342556653e-06 7.2722343456176579e-07 0 0 
0.22433524028858631 0 0 0 0 0 0 0 0 4.1659685355962319e-06 7.402018527083715e-07 0 0 
