         w(au)                   dpEdwx                 dpHdwx                 dpEdwz                dpHdwz                  dpEsdwx                dpHsdwx                dpEsdwz                dpHsdwz              dpEedwx                dpHedwx                dpEedwz                dpHedwz
0.0076333052380676558 2.9444087620025541e-07 -9.5019390686796891e-12 2.6860884137390505e-13 5.6287506260336575e-14 2.1881461943185902e-14 -2.1881461919801695e-14 4.7775589028329199e-15 -4.7775588868978578e-15 9.0316677030068257e-13 -9.0316677032420552e-13 0 0 
0.0091398683995556618 2.9451231210803522e-07 -1.1044758172185907e-11 3.8185793216879815e-13 7.8962637492241389e-14 3.1375435484474491e-14 -3.1375435392817481e-14 5.3378075297351623e-15 -5.3378074931290131e-15 1.2568200631988395e-12 -1.2568200632206564e-12 0 0 
0.010777394218820652 2.946044272472419e-07 -1.25413264020778e-11 5.2755592750054386e-13 1.0792766768527723e-13 4.3641613854241985e-14 -4.3641613904706117e-14 5.7777644266809263e-15 -5.7777643502974008e-15 1.6991183533375716e-12 -1.6991183533437754e-12 0 0 
0.012543920653532964 2.9472070613433567e-07 -1.4045181364139788e-11 7.1138421694324837e-13 1.4431129182362074e-13 5.9157146063105559e-14 -5.9157146111623294e-14 6.1176501622613718e-15 -6.1176500139743533e-15 2.241386205802549e-12 -2.2413862058216259e-12 0 0 
0.014438359865826866 2.9486492426300749e-07 -1.561350541151118e-11 9.3954019521928336e-13 1.8934354906990533e-13 7.8441980556193198e-14 -7.8441980596218713e-14 6.3793407377150698e-15 -6.3793404667062312e-15 2.8953717233062813e-12 -2.8953717233373522e-12 0 0 
0.016459317295570902 2.9504108128138273e-07 -1.7299142837117876e-11 1.2186361566007548e-12 2.4433239654241846e-13 1.0205091381876258e-13 -1.0205091374183126e-13 6.581918562815808e-15 -6.5819180919856456e-15 3.6728807602261359e-12 -3.6728807602445406e-12 0 0 
0.018604465124198805 2.9525331773587662e-07 -1.9148210843388471e-11 1.5555812501534641e-12 3.1063939191111563e-13 1.3056354674126041e-13 -1.3056354674562846e-13 6.7406109008433873e-15 -6.740610116377802e-15 4.585387102748466e-12 -4.5853871027930303e-12 0 0 
0.020871493322656143 2.9550596791540382e-07 -2.1201121351882596e-11 1.9576843404262123e-12 3.8969978226100062e-13 1.6459266296964571e-13 -1.6459266290723363e-13 6.8671393761289206e-15 -6.8671381153288818e-15 5.64425326503453e-12 -5.6442532650494193e-12 0 0 
0.02325866555547923 2.9580363016043717e-07 -2.3494134087120859e-11 2.432790136303477e-12 4.8304926721639647e-13 2.0479531504827848e-13 -2.0479531507422642e-13 6.970353378234039e-15 -6.9703514141428741e-15 6.8609787460797493e-12 -6.860978746094225e-12 0 0 
0.025764035426540266 2.9615109203292576e-07 -2.6059826215812228e-11 2.9891886529715996e-12 5.923061930004173e-13 2.5186466325068879e-13 -2.5186466324646367e-13 7.0568536260518825e-15 -7.0568506488826552e-15 8.2468297527414488e-12 -8.2468297527678669e-12 0 0 
0.028384954922211783 2.9655324021081506e-07 -2.8927457420441041e-11 3.6355018330490492e-12 7.1914924537349017e-13 3.0651985367551041e-13 -3.0651985366586748e-13 7.1315710987610954e-15 -7.1315666946462415e-15 9.8124511470971237e-12 -9.8124511471176481e-12 0 0 
0.03111874318509282 2.9701512887615675e-07 -3.2124286711519799e-11 4.3808269125670257e-12 8.6534544430420065e-13 3.6951759736730348e-13 -3.6951759728602526e-13 7.1982439534442102e-15 -7.1982375793298394e-15 1.1568117772228889e-11 -1.1568117772285705e-11 0 0 
0.03396313314120275 2.9754206646442672e-07 -3.5676711784625383e-11 5.2349163139215171e-12 1.0327851115306002e-12 4.4166677037487174e-13 -4.4166677031430651e-13 7.2597539498743997e-15 -7.2597449063578677e-15 1.3524009035100979e-11 -1.3524009035087382e-11 0 0 
